Age,Job Type,Marital Status,Education,Metro City,Signed in since(Days),Purchase made
48,Retired,Yes,Secondry,Yes,65,4974.4809
37,Employed,Yes,Secondry,Yes,74,4999.9041
54,Retired,No,Graduate,No,70,5070.8641
42,Unemployed,Yes,Secondry,Yes,72,5097.96
49,Unemployed,Yes,Secondry,Yes,82,5105.1025
55,Retired,Yes,Graduate,Yes,83,5138.0224
30,Employed,Yes,Graduate,Yes,72,5142.3241
45,Employed,No,Secondry,No,75,5175.3636
39,Employed,Yes,Secondry,Yes,81,5211.3961
37,Employed,Yes,Graduate,Yes,80,5215.7284
34,Employed,No,Secondry,No,83,5266.4049
55,Employed,No,Secondry,No,83,5269.3081
38,Employed,Yes,Secondry,Yes,75,5289.6529
37,Unemployed,Yes,Graduate,Yes,84,5312.9521
33,Employed,No,Graduate,No,79,5419.9044
37,Employed,Yes,Secondry,Yes,80,5436.1129
38,Employed,Yes,Graduate,Yes,72,5453.8225
55,Employed,No,Primary,No,77,5530.8969
44,Employed,No,Graduate,No,77,5532.3844
39,Unemployed,Yes,Graduate,Yes,69,5598.0324
35,Employed,No,Secondry,No,82,5601.0256
47,Unemployed,No,Secondry,No,84,5601.0256
38,Unemployed,Yes,Secondry,Yes,68,5644.5169
33,Unemployed,Yes,Graduate,Yes,85,5677.6225
46,Employed,No,Secondry,No,84,5794.2544
53,Employed,Yes,Secondry,Yes,85,5798.8225
44,Retired,Yes,Secondry,Yes,72,5809.4884
44,Employed,Yes,Secondry,Yes,71,5829.3225
34,Employed,No,Graduate,No,84,5840.0164
46,Unemployed,No,Secondry,No,76,5899.7761
47,Employed,Yes,Secondry,Yes,85,5932.0804
26,Employed,Yes,Graduate,Yes,80,6009.3504
30,Employed,No,Graduate,No,71,6031.0756
25,Employed,Yes,Secondry,Yes,73,6094.9249
NA,Employed,No,Graduate,Yes,75,6155.9716
NA,Retired,No,Secondry,No,70,6207.8641
29,Employed,Yes,Graduate,Yes,79,6255.2281
29,Employed,No,Graduate,No,73,6285.3184
30,Employed,No,Graduate,Yes,77,6353.6841
29,Employed,Yes,Graduate,Yes,79,6393.6016
28,Employed,Yes,Secondry,Yes,75,6420.8169
30,Employed,No,Graduate,No,76,6428.8324
28,Employed,Yes,Secondry,Yes,81,6460.9444
26,Employed,No,Graduate,Yes,73,6460.9444
30,Employed,Yes,Graduate,Yes,85,6522.1776
28,Employed,Yes,Secondry,Yes,77,6523.7929
29,Employed,Yes,Graduate,Yes,85,6564.2404
45,Employed,Yes,Secondry,Yes,89,6578.8321
40,Employed,Yes,Graduate,Yes,72,6586.9456
33,Employed,Yes,Secondry,Yes,81,6642.25
37,Employed,Yes,Graduate,Yes,89,6665.0896
32,Unemployed,No,Graduate,No,89,6707.61
34,Employed,Yes,Graduate,Yes,79,6745.3369
34,Employed,Yes,Graduate,Yes,80,6778.2289
47,Employed,Yes,Secondry,Yes,89,6781.5225
39,Employed,No,Graduate,No,73,6784.8169
32,Employed,Yes,Graduate,Yes,81,6791.4081
39,Employed,No,Graduate,No,81,6907.2721
32,Employed,Yes,Secondry,Yes,82,6910.5969
41,Retired,No,Secondry,No,84,6912.2596
44,Unemployed,Yes,Secondry,Yes,87,6912.2596
36,Employed,No,Graduate,Yes,83,6935.5584
40,Retired,No,Secondry,No,76,6955.56
38,Employed,No,Graduate,No,76,7032.4996
38,Employed,Yes,Graduate,Yes,86,7057.6801
33,Employed,No,Secondry,No,78,7108.1761
48,Employed,Yes,Graduate,Yes,83,7206.3121
47,Employed,No,Graduate,No,88,7218.2016
45,Employed,No,Graduate,No,86,7230.1009
40,Employed,Yes,Secondry,Yes,78,7288.0369
45,Retired,No,Graduate,No,81,7293.16
42,Employed,No,Graduate,No,90,7318.8025
34,Unemployed,Yes,Graduate,Yes,82,7320.5136
38,Student,Yes,Secondry,Yes,78,7327.36
46,Retired,Yes,Secondry,Yes,77,7411.4881
44,Employed,Yes,Graduate,Yes,75,7447.69
43,Employed,Yes,Secondry,Yes,88,7485.7104
33,Employed,No,Graduate,No,87,7503.0244
34,Unemployed,Yes,Secondry,Yes,84,7534.24
48,Employed,No,Graduate,No,84,7541.1856
41,Employed,Yes,Secondry,Yes,89,7546.3969
36,Employed,Yes,Graduate,Yes,79,7553.3481
43,Unemployed,No,Graduate,No,77,7560.3025
34,Unemployed,No,Secondry,No,91,7574.2209
40,Employed,Yes,Graduate,Yes,79,7584.6681
47,Unemployed,Yes,Secondry,Yes,78,7624.7824
38,Employed,Yes,Secondry,Yes,85,7624.7824
36,Employed,Yes,Graduate,Yes,92,7628.2756
40,Retired,No,Graduate,No,76,7633.5169
34,Employed,Yes,Graduate,Yes,83,7647.5025
46,Employed,Yes,Graduate,Yes,89,7708.84
33,Employed,Yes,Graduate,Yes,86,7784.5329
41,Unemployed,Yes,Graduate,Yes,83,7784.5329
35,Employed,No,Graduate,Yes,87,7791.5929
45,Employed,Yes,Primary,Yes,87,7800.4224
38,Employed,No,Graduate,Yes,79,7878.3376
37,Employed,Yes,Secondry,Yes,88,7880.1129
37,Unemployed,No,Secondry,No,86,7887.2161
39,Employed,No,Graduate,No,86,7903.21
43,Retired,No,Graduate,No,86,7917.4404
33,Unemployed,No,Graduate,No,91,7978.0624
44,Employed,Yes,Graduate,Yes,90,8013.8304
44,Employed,No,Graduate,Yes,93,8026.3681
35,Employed,Yes,Secondry,Yes,80,8062.2441
38,Employed,Yes,Graduate,Yes,89,8082.01
35,Employed,Yes,Graduate,Yes,78,8105.4009
32,Employed,Yes,Graduate,Yes,93,8193.8704
35,Employed,Yes,Secondry,Yes,77,8201.1136
35,Employed,Yes,Graduate,Yes,93,8339.3424
33,Employed,Yes,Secondry,Yes,86,8348.4769
46,Employed,Yes,Secondry,Yes,91,8363.1025
48,Unemployed,Yes,Graduate,Yes,79,8394.2244
35,Employed,Yes,Secondry,Yes,89,8436.4225
48,Unemployed,No,Graduate,No,88,8452.9636
34,Employed,Yes,Graduate,Yes,92,8504.5284
48,Employed,No,Secondry,No,80,8517.4441
42,Retired,No,Graduate,Yes,88,8537.76
44,Unemployed,Yes,Secondry,Yes,89,8539.6081
39,Unemployed,No,Graduate,No,80,8632.2681
36,Unemployed,No,Graduate,No,90,8634.1264
37,Employed,No,Graduate,No,78,8635.9849
36,Unemployed,Yes,Secondry,Yes,92,8660.1636
46,Unemployed,Yes,Graduate,Yes,90,8665.7481
40,Retired,Yes,Secondry,Yes,92,8716.0896
48,Employed,Yes,Graduate,Yes,89,8729.1649
35,Employed,Yes,Graduate,Yes,94,8747.8609
45,Employed,No,Graduate,Yes,92,8755.3449
46,Employed,Yes,Secondry,Yes,84,8811.5769
47,Unemployed,No,Graduate,No,89,8811.5769
39,Employed,Yes,Graduate,Yes,94,8811.5769
39,Employed,Yes,Graduate,Yes,84,8836
41,Unemployed,Yes,Secondry,Yes,85,8858.5744
39,Employed,Yes,Graduate,Yes,93,8879.2929
42,Employed,No,Graduate,Yes,90,8896.2624
46,Retired,Yes,Graduate,Yes,90,8920.8025
44,Student,No,Secondry,Yes,87,8932.1401
37,Unemployed,Yes,Graduate,Yes,92,8979.4576
39,Employed,Yes,Secondry,Yes,89,8983.2484
37,Employed,No,Graduate,Yes,84,8992.7289
45,Employed,Yes,Graduate,Yes,89,9019.3009
46,Unemployed,No,Graduate,No,83,9025
40,Employed,Yes,Graduate,Yes,89,9038.3049
42,Unemployed,No,Graduate,No,86,9083.9961
32,Employed,No,Graduate,No,92,9104.9764
42,Retired,No,Graduate,No,95,9200.6464
33,Employed,Yes,Secondry,Yes,84,9202.5649
34,Employed,Yes,Graduate,Yes,92,9214.0801
33,Employed,Yes,Graduate,Yes,93,9229.4449
42,Employed,No,Graduate,Yes,84,9235.21
32,Unemployed,No,Graduate,Yes,96,9267.9129
32,Unemployed,Yes,Graduate,Yes,84,9271.7641
34,Employed,Yes,Graduate,Yes,94,9281.3956
30,Employed,Yes,Graduate,Yes,83,9308.3904
26,Employed,Yes,Graduate,Yes,96,9370.24
29,Employed,No,Graduate,Yes,91,9409
25,Employed,No,Graduate,Yes,91,9498.4516
27,Employed,Yes,Graduate,Yes,108,9519.9049
30,Unemployed,Yes,Graduate,Yes,94,9598.1209
25,Employed,Yes,Graduate,Yes,87,9656.9929
NA,Retired,No,Graduate,Yes,97,9658.9584
30,Employed,No,Secondry,Yes,88,9660.9241
30,Student,No,Secondry,Yes,86,9729.8496
NA,Employed,Yes,Graduate,Yes,83,9747.6129
30,Employed,No,Graduate,Yes,87,9775.2769
25,Employed,Yes,Secondry,Yes,86,9822.7921
28,Employed,No,Graduate,Yes,96,9848.5776
28,Employed,Yes,Graduate,Yes,84,9854.5329
28,Employed,Yes,Graduate,Yes,93,9854.5329
30,Employed,No,Graduate,Yes,98,9906.2209
28,Employed,No,Graduate,Yes,88,9934.1089
27,Unemployed,No,Graduate,Yes,83,9950.0625
NA,Student,No,Secondry,Yes,83,9958.0441
46,Unemployed,No,Graduate,Yes,98,10004.0004
43,Unemployed,No,Graduate,Yes,88,10026.0169
34,Employed,Yes,Graduate,Yes,93,10048.0576
43,Unemployed,Yes,Graduate,Yes,95,10104.2704
34,Unemployed,Yes,Graduate,Yes,85,10108.2916
32,Employed,Yes,Graduate,Yes,94,10116.3364
42,Employed,Yes,Graduate,Yes,88,10198.9801
44,Employed,Yes,Graduate,Yes,88,10253.5876
32,Unemployed,No,Graduate,Yes,88,10446.8841
47,Employed,Yes,Graduate,Yes,88,10475.5225
35,Employed,No,Graduate,Yes,94,10576.0656
33,Employed,Yes,Graduate,Yes,86,10652.3041
37,Employed,Yes,Graduate,Yes,99,10656.4329
36,Employed,Yes,Graduate,Yes,95,10668.8241
46,Employed,Yes,Graduate,Yes,91,10706.0409
34,Employed,No,Graduate,Yes,91,10710.1801
42,Employed,Yes,Graduate,Yes,98,10716.3904
46,Employed,Yes,Graduate,Yes,89,10718.4609
32,Employed,No,Graduate,Yes,95,10791.0544
34,Employed,No,Graduate,Yes,99,10845.1396
37,Employed,Yes,Graduate,Yes,100,10876.4041
48,Employed,Yes,Graduate,Yes,88,10922.3401
46,Employed,Yes,Graduate,Yes,93,11096.5156
40,Employed,Yes,Graduate,Yes,93,11132.3601
40,Employed,No,Graduate,Yes,93,11199.9889
33,Employed,No,Graduate,Yes,99,11284.8129
37,Employed,Yes,Graduate,Yes,93,11301.8161
39,Employed,No,Graduate,Yes,87,11419.0596
46,Employed,No,Graduate,Yes,92,11436.1636
47,Employed,No,Graduate,Yes,94,11498.2729
38,Employed,No,Graduate,Yes,99,11530.4644
47,Employed,No,Graduate,Yes,93,11577.76
48,Employed,No,Graduate,Yes,88,11713.7329
35,Employed,No,Graduate,Yes,96,11741.8896
45,Employed,Yes,Graduate,Yes,93,11813.5161
35,Employed,No,Graduate,Yes,93,11937.7476
40,Employed,Yes,Graduate,Yes,89,11944.3041
39,Employed,No,Graduate,Yes,96,12258.9184
46,Employed,No,Graduate,Yes,97,12294.3744
46,Employed,Yes,Graduate,Yes,99,12396.5956
45,Employed,Yes,Graduate,Yes,89,12401.0496
42,Employed,Yes,Graduate,Yes,96,12430.0201
48,Employed,No,Graduate,Yes,91,12548.4804
41,Employed,Yes,Graduate,Yes,91,12561.9264
34,Employed,No,Graduate,Yes,100,12764.4804
43,Employed,No,Graduate,Yes,98,12782.5636
42,Employed,No,Graduate,Yes,100,12966.3769
36,Employed,Yes,Graduate,Yes,98,12989.1609
48,Employed,Yes,Graduate,Yes,94,13011.9649
41,Employed,Yes,Graduate,Yes,98,13039.3561
33,Employed,Yes,Graduate,Yes,95,13043.9241
36,Employed,Yes,Graduate,Yes,91,13121.7025
35,Employed,Yes,Graduate,Yes,93,13261.8256
39,Employed,Yes,Graduate,Yes,97,13275.6484
37,Employed,Yes,Graduate,Yes,96,13291.7841
48,Employed,No,Graduate,Yes,100,13411.9561
45,Employed,No,Graduate,Yes,93,13500.1161
40,Employed,Yes,Graduate,Yes,99,13514.0625
32,Employed,Yes,Graduate,Yes,93,13560.6025
41,Employed,Yes,Graduate,Yes,100,13691.3401
45,Employed,No,Graduate,Yes,95,13691.3401
38,Employed,Yes,Graduate,Yes,95,13707.7264
35,Employed,Yes,Graduate,Yes,94,14042.25
47,Employed,Yes,Graduate,Yes,98,14232.49
32,Employed,No,Graduate,Yes,96,14390.4016
42,Employed,No,Graduate,Yes,94,14395.2004
33,Employed,Yes,Graduate,Yes,95,14400
40,Employed,Yes,Graduate,Yes,100,14604.7225
36,Employed,No,Graduate,Yes,97,14718.5424
48,Employed,Yes,Graduate,Yes,97,15160.9969
45,Employed,No,Graduate,Yes,97,15212.7556
44,Employed,Yes,Graduate,Yes,98,15331.3924
38,Employed,Yes,Graduate,Yes,100,15645.0064
44,Employed,Yes,Graduate,Yes,99,16184.9284
41,Employed,Yes,Graduate,Yes,98,16187.4729
41,Employed,Yes,Graduate,Yes,99,16993.7296
39,Employed,No,Graduate,Yes,99,17355.4276
